object_id,time,value
21,758,1.1885638621163173
84,802,1.842035615953119
64,199,1.5281089450089413
99,767,2.1296075715528393
91,930,1.9164775681198107
34,765,1.3651526152848252
4,841,1.0445455565087374
17,810,1.1734906137972891
67,608,1.6094718489552162
74,501,1.7388210538201563
1,278,1.056858573271883
41,422,1.4747098938825933
80,451,1.9090561176422254
38,167,1.456419617280391
24,205,1.2207660298018277
2,888,1.0882330730261163
49,2,1.4474237601094475
61,18,1.715407699311069
20,632,1.2717985548132191
61,692,1.635694047202078
83,649,1.842394119468643
95,25,1.9993765047710068
96,803,2.042826228159263
47,195,1.290413634131023
31,414,1.377064853352305
88,149,1.8659294708489815
36,887,1.2868965260592364
92,949,1.8670038108398201
31,928,1.4010561786176092
30,292,1.2219488654577828
22,791,1.2907880498733388
36,850,1.3454996125867402
21,169,1.1601845240715893
33,368,1.3905390602443486
2,157,0.9502701157288156
33,286,1.3591015990721953
69,698,1.7307746831798199
5,115,0.8801708101665823
52,969,1.541295603090789
30,162,1.2810858926156456
92,198,1.9126392127791416
77,896,1.7396559878640439
63,402,1.6633414575712369
76,318,1.7450068821124778
30,254,1.1761196253949908
56,792,1.5156900772355517
85,517,1.966635612779385
98,755,1.9227889888162164
27,48,1.32233650653496
98,852,2.0926324828726277
95,358,1.9330789232296022
56,123,1.6707529711732023
18,358,1.1493440637073657
51,706,1.5744534195725655
74,544,1.8575450136353986
91,397,1.892180121556212
2,938,1.034466019284957
91,737,2.0962712148817864
70,981,1.9300183488418123
75,6,1.6639243558260841
10,847,1.2211808114918732
69,618,1.7146514968786826
60,323,1.5982037252880084
99,822,1.8791075056951974
90,363,1.8660084860407575
49,785,1.427668538254458
55,601,1.7161569701926405
48,460,1.3625440147007772
77,282,1.8523602364900773
63,845,1.664191513989595
78,6,1.7276140073482564
59,310,1.474137349165685
90,643,1.984487974034421
31,146,1.3589083774195736
33,180,1.2747060507750532
8,337,0.832114765215542
59,500,1.5780130140683162
98,666,2.0324185426399293
89,991,1.9146583359894076
51,345,1.6316098788405893
80,341,1.9044620621199408
87,636,2.0892584996254513
93,43,1.9875897181187079
2,692,0.9142650476226712
11,865,1.2829553208685414
76,995,1.8120864394776517
29,540,1.308381364272821
70,871,1.73706228949236
83,651,1.8244714406867422
